Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","144","Mozambique","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","763409","Fc","Calculated data"
"TI","Trade Indices","144","Mozambique","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","247675","Fc","Calculated data"
"TI","Trade Indices","144","Mozambique","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","666320","Fc","Calculated data"
"TI","Trade Indices","144","Mozambique","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","158112","Fc","Calculated data"
"TI","Trade Indices","147","Namibia","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","358359","Fc","Calculated data"
"TI","Trade Indices","147","Namibia","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","156523","Fc","Calculated data"
"TI","Trade Indices","147","Namibia","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","276695","Fc","Calculated data"
"TI","Trade Indices","147","Namibia","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","181608","Fc","Calculated data"
"TI","Trade Indices","148","Nauru","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","3765","Fc","Calculated data"
"TI","Trade Indices","148","Nauru","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","2880","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","370454","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","208127","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","313072","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","144076","Fc","Calculated data"
"TI","Trade Indices","150","Netherlands","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","38953968","Fc","Calculated data"
"TI","Trade Indices","150","Netherlands","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","52656191","Fc","Calculated data"
"TI","Trade Indices","150","Netherlands","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","28638044","Fc","Calculated data"
